The Core Computer Business (Pty) Ltd,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,,,,
Apple Reseller Program Price List,,,,
,,,,
,,,,
Effective from 18 June 2025,,,,
,,,,
Items in Red are on Promotion: Ends 30th June 2025 or While Stocks Last,,,,
,,,,
Due to the volatility of the Rand/US Dollar exchange rate please note that the prices published by Core Group may change without notice.,,,,
Should you wish to include these prices in customer quotations please note that the Core Group may not be able to honour the published prices.,,,,
EO&E,,,,
"The reseller is responsible for determining its own prices for the resale of products. Although Core may suggest retail prices, these are suggestions only and the reseller is entirely free to determine the actual prices at which products will be sold.",,,,
,ARP_P1,,,
,,,,
,ARP_P1,,"Wholesale
(ZAR Excl VAT)","RRP 
(ZAR Incl VAT)"
1 - CPU,,,,
DISPLAYS,,,,
MCX14ZE/A,"14-INCH MACBOOK PRO: APPLE M4 CHIP WITH 10‑CORE CPU AND 10‑CORE GPU, 24GB, 1TB SSD - SILVER",ACTIVE,36199,45999
MW2U3ZE/A,"14-INCH MACBOOK PRO: APPLE M4 CHIP WITH 10‑CORE CPU AND 10‑CORE GPU, 16GB, 512GB SSD - SPACE BLACK",ACTIVE,28150,36999
MW2V3ZE/A,"14-INCH MACBOOK PRO: APPLE M4 CHIP WITH 10‑CORE CPU AND 10‑CORE GPU, 16GB, 1TB SSD - SPACE BLACK",ACTIVE,32657,41499
MW2W3ZE/A,"14-INCH MACBOOK PRO: APPLE M4 CHIP WITH 10‑CORE CPU AND 10‑CORE GPU, 16GB, 512GB SSD - SILVER",ACTIVE,28150,36999
MW2X3ZE/A,"14-INCH MACBOOK PRO: APPLE M4 CHIP WITH 10‑CORE CPU AND 10‑CORE GPU, 16GB, 1TB SSD - SILVER",ACTIVE,32657,41499
MX2E3ZE/A,"14-INCH MACBOOK PRO: APPLE M4 PRO CHIP WITH 12‑CORE CPU AND 16‑CORE GPU, 24GB, 512GB SSD - SILVER",ACTIVE,36199,45999
MX2F3ZE/A,"14-INCH MACBOOK PRO: APPLE M4 PRO CHIP WITH 14‑CORE CPU AND 20‑CORE GPU, 24GB, 1TB SSD - SILVER",ACTIVE,43911,55799
MX2H3ZE/A,"14-INCH MACBOOK PRO: APPLE M4 PRO CHIP WITH 12‑CORE CPU AND 16‑CORE GPU, 24GB, 512GB SSD - SPACE BLACK",ACTIVE,36199,45999
MX2J3ZE/A,"14-INCH MACBOOK PRO: APPLE M4 PRO CHIP WITH 14‑CORE CPU AND 20‑CORE GPU, 24GB, 1TB SSD - SPACE BLACK",ACTIVE,43911,55799
MX2K3ZE/A,"14-INCH MACBOOK PRO: APPLE M4 MAX CHIP WITH 14‑CORE CPU AND 32‑CORE GPU, 36GB, 1TB SSD - SPACE BLACK",ACTIVE,59020,74999
MX2G3ZE/A,"14-INCH MACBOOK PRO: APPLE M4 MAX CHIP WITH 14‑CORE CPU AND 32‑CORE GPU, 36GB, 1TB SSD - SILVER",ACTIVE,59020,74999
"MACBOOK PRO 16""",,,,
MX2T3ZE/A,"16-INCH MACBOOK PRO: APPLE M4 PRO CHIP WITH 14‑CORE CPU AND 20‑CORE GPU, 24GB, 512GB SSD - SILVER",ACTIVE,44400,57999
MX2U3ZE/A,"16-INCH MACBOOK PRO: APPLE M4 PRO CHIP WITH 14‑CORE CPU AND 20‑CORE GPU, 48GB, 512GB SSD - SILVER",ACTIVE,53118,67499
MX2X3ZE/A,"16-INCH MACBOOK PRO: APPLE M4 PRO CHIP WITH 14‑CORE CPU AND 20‑CORE GPU, 24GB, 512GB SSD - SPACE BLACK",ACTIVE,44400,57999
MX2Y3ZE/A,"16-INCH MACBOOK PRO: APPLE M4 PRO CHIP WITH 14‑CORE CPU AND 20‑CORE GPU, 48GB, 512GB SSD - SPACE BLACK",ACTIVE,53118,67499
MX2V3ZE/A,"16-INCH MACBOOK PRO: APPLE M4 MAX CHIP WITH 14‑CORE CPU AND 32‑CORE GPU, 36GB, 1TB SSD - SILVER",ACTIVE,64136,81499
MX303ZE/A,"16-INCH MACBOOK PRO: APPLE M4 MAX CHIP WITH 14‑CORE CPU AND 32‑CORE GPU, 36GB, 1TB SSD - SPACE BLACK",ACTIVE,64136,81499
MX313ZE/A,"16-INCH MACBOOK PRO: APPLE M4 MAX CHIP WITH 16‑CORE CPU AND 40‑CORE GPU, 48GB, 1TB SSD - SPACE BLACK",ACTIVE,73579,93499
MX2W3ZE/A,"16-INCH MACBOOK PRO: APPLE M4 MAX CHIP WITH 16‑CORE CPU AND 40‑CORE GPU, 48GB, 1TB SSD - SILVER",ACTIVE,73579,93499
MACBOOK AIR M4,,,,
MC6T4ZE/A,"13-INCH MACBOOK AIR: APPLE M4 CHIP WITH 10-CORE CPU AND 8-CORE GPU, 16GB, 256GB SSD - SKY BLUE",ACTIVE,17340,22999
MW0W3ZE/A,"13-INCH MACBOOK AIR: APPLE M4 CHIP WITH 10-CORE CPU AND 8-CORE GPU, 16GB, 256GB SSD - SILVER",ACTIVE,17340,22999
MW0Y3ZE/A,"13-INCH MACBOOK AIR: APPLE M4 CHIP WITH 10-CORE CPU AND 8-CORE GPU, 16GB, 256GB SSD - STARLIGHT",ACTIVE,17340,22999
MW123ZE/A,"13-INCH MACBOOK AIR: APPLE M4 CHIP WITH 10-CORE CPU AND 8-CORE GPU, 16GB, 256GB SSD - MIDNIGHT",ACTIVE,17340,22999
MC6U4ZE/A,"13-INCH MACBOOK AIR: APPLE M4 CHIP WITH 10-CORE CPU AND 10-CORE GPU, 16GB, 512GB SSD - SKY BLUE",ACTIVE,21797,27699
